AccidentArea,Sex,Age,Fault,FraudFound_P,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,AgentType,Vehicle_Price,AgeVehicle,Suppliments,PastClaims,Base_Policy_Liability,Base_Policy_Collision,Vehicle_Category_Sport,Vehicle_Category_Sedan,PolicyType_1,PolicyType_2,Make_1,Make_2,Make_3,Married,Single,Year_1994,Year_1995,Number_Cars,Address_Change_Claim,DaysPolicy_Claim,DaysPolicy_Accident
1,0,21,0,0,12,300,1,0,0,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,3,3
1,1,34,0,0,15,400,4,1,0,0,5,5,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,3
1,1,47,0,0,7,400,3,0,0,0,5,6,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,3,3
0,1,65,1,0,4,400,2,1,0,0,1,7,3,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,3,3
1,0,27,1,0,3,400,1,0,0,0,5,4,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,3
1,1,20,1,0,12,400,3,0,0,0,5,4,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,3
1,1,36,1,0,14,400,1,0,0,0,5,6,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,3,3
1,1,0,0,0,1,400,4,0,0,0,5,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,3
1,1,30,0,0,7,400,4,0,1,0,5,5,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,3
1,1,42,0,0,7,400,1,0,0,0,5,7,2,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3,3
1,1,71,0,0,7,400,3,0,0,0,5,7,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,3
1,1,52,0,0,13,400,1,0,0,0,1,7,0,2,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,3,3
1,1,28,0,0,11,400,1,0,0,0,5,6,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,3,3
0,1,0,1,0,12,400,3,0,0,0,5,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,3,3
1,1,61,0,0,3,400,1,0,0,0,5,7,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,3,3
1,1,38,0,0,16,400,1,0,0,0,5,5,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,3
1,1,41,0,0,15,400,4,0,0,0,5,6,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,3,3
1,0,28,1,0,6,400,1,0,0,0,1,6,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,3,3
1,1,32,0,0,6,400,1,0,0,0,1,6,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,3,3
1,1,30,1,0,2,400,2,0,0,0,5,5,3,2,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,3,3
1,1,40,0,0,3,400,1,0,0,0,1,7,3,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,3,3
